Resourse,Location,Emotion,Perception,PerceptionScore,ResourceType,Appropriation,AppropriationScore,Gender,Age,Respondent,respondweight,local_priority,tourist_priority,expert_priority,,
Набережная Верхнего пруда,"Верхний пруд, набережная",радостное спокойствие,положительные,2,природные особенности,важны,4,женский,35-44,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная пруда,положительные,положительные,2,природные особенности,важны,4,женский,25-34,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная,позитивные,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,мужской,35-44,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная у озера,"Красиво, комфортно гулять, не слишком много народу",положительные,2,природные особенности,важны,4,женский,45-54,турист,1,0,1,0,,
Набережная Верхнего пруда,Центральная набережная,Радость и умиротворение от созерцания природы,положительные,2,природные особенности,скорее важны,3,женский,65 и более,турист,1,0,1,0,,
Набережная Верхнего пруда,Набережная Верхнего пруда (около музея),"Очень сильно люблю воду, поэтому это место вызывает очень много спокойствия и умиротворения",положительные,2,природные особенности,скорее важны,3,женский,18-24,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Набережная ,"Радость, свобода, чистота ",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Набережная Верхнего пруда,Набережная Верхнего пруда,"Начало знакомства с городом - простор в центре города, лес, пляж, домики, как в деревне. Простор и уют, но и современное",положительные,2,природные особенности,важны,4,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Набережная Верхнего пруда,Верхний пруд,"визуальный простор, уникальный природный ресурс",положительные,2,природные особенности,важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Набережная Верхнего пруда,Крытые лавочки на набережной,Встреча рассветов летом,положительные,2,природные особенности,важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Плотина (набережная верхнего пруда),Хорошие,положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,35-44,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Набережная Верхнего пруда,Умиротворение ,положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Набережная Верхнего пруда,Верхний пруд,Радость,положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Центральный парк,Городской парк ,"Очень тёплые ассоциации, потому что там располагался парк аттракционов (он там до сих пор есть). В детстве часто туда ходила ради развлечения, а когда выросла стала больше обращать внимания на природу. Сейчас это скорее возможность среди города попасть в мини зелёную зону.",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,18-24,местный житель,1,1,0,0,,
Центральный парк,"Парк культуры и отдыха. Он находится рядом со стадионом ""Металлург"".","Парк- это особое место нашего города. В летнее время здесь можно провести целый день: покататься на каруселях, понаблюдать за лебедями, плавающими по водоёму, поесть шашлыка. В праздничные дни в парке проводят конкурсы и мастер- классы. Всё это заряжает энергией и хорошим настроением.",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,45-54,местный житель,1,1,0,0,,
Центральный парк,Центральный парк,"комфорт и развлечения, здесь можно долго и комфортно проводить время",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,женский,35-44,турист,1,0,1,0,,
Центральный парк,Парк с единорогом,"Очень много интересных элементов, и озеро, и скульптуры разнообразные. И удобно, потому что лавочки, ларьки, детская площадка.",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,мужской,35-44,турист,1,0,1,0,,
Центральный парк,ЦПКиО в центре),"Первое впечатление - восторг и удивление от размеров и внешнего вида парка, также некоторая усталость от того что мы по нему очень часто ходили) вызывает интерес и радость за Выксу, что у них есть такое сильное место",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Центральный парк,Парк культуры и отдыха ,"Радует ощущение кипящей жизни, одновременно и уют, есть уединенность и белочки",положительные,2,природные особенности,важны,4,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Центральный парк,Центральный парк,приятные,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,18-24,местный житель,1,1,0,0,,
Центральный парк,Парк,Практически исключительно положительные.,положительные,2,природные особенности,важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
Центральный парк,Парк,Положительные (много воспоминаний),положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Центральный парк,Парк,Радость и спокойствие ,положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Центральный парк,Парк культуры,Покой и умиротворение ,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,45-54,местный житель,1,1,0,0,,
Центральный парк,Парк,"Радость от созерцания красоты природы, умиротворение, воспоминания из детства ",положительные,2,природные особенности,важны,4,женский,35-44,местный житель,1,1,0,0,,
"Скульптура ""Единорог""",Скульптура единорог,"удивление, уникальность. это новый символ города, на всех открытках",положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,25-34,турист,1,0,1,0,,
"Скульптура ""Единорог""","Скульптура ""Единорог""","Необычная скульптура, за счет этого она и запоминается. Современная, но отражает историю города (единорог был когда-то на гербе города).",положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,45-54,турист,1,0,1,0,,
Пруд Лебединка,Пред Лебединка. Он находиться в парке г. Выкса,"В этом месте я проводила очень много времени. На всех праздниках мы собирались здесь с друзьями. Также мы любили с мужем, когда были еще школьниками, там сидеть на качелях и наблюдать за лебедями. Это место где я проживала и радость, и обиду, и слезы. Также я наблюдала как менялось это место от маленького не ухоженного пруда, до уже современно оборудованного объекта. ",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,55-64,местный житель,1,1,0,0,,
Пруд Лебединка,Пруд в парке,тишь да гладь,положительные,2,природные особенности,важны,4,женский,25-34,турист,1,0,1,0,,
Музей Баташёвых,Музей Баташевых расположен рядом с набережной Верхнего пруда.,"Музей Баташевых- это гордость нашего города. Зайдя в здание музея, ты попадаешь в другую жизнь, открываешь для себя много нового. Там часто экскурсовод проводит экскурсии, рассказывая об истории нашего города.",положительные,2,известные люди прошлого или современности,важны,4,женский,55-64,местный житель,1,1,0,0,,
Музей Баташёвых,Музей Баташёвых,"любопытство, удивление, сопричастность истории города",положительные,2,известные люди прошлого или современности,важны,4,женский,35-44,турист,1,0,1,0,,
Музей Баташёвых,Музей семьи Баташевых,"Можно много узнать интересного о городе. Я считаю, этто важно.",положительные,2,известные люди прошлого или современности,важны,4,мужской,35-44,турист,1,0,1,0,,
Музей Баташёвых,Музей семьи Баташёвых,"Настоящие погружение в историю, знакомство с историческими личностями и прошлым города. Интересный музей с отличными экскурсоводами.",положительные,2,известные люди прошлого или современности,важны,4,женский,65 и более,турист,1,0,1,0,,
Музей Баташёвых,Музей,"место, где из традиционного музея люди своими руками делают что-то интересное, создают социальные и культурные события",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Музей Баташёвых,Музей ,Положительные,положительные,2,известные люди прошлого или современности,важны,4,женский,35-44,местный житель,1,1,0,0,,
Металлургический завод,завод,главное предприятие города,нейтральные,0,"производство уникальной продукции (заводы, промыслы)",важны,4,мужской,18-24,местный житель,1,1,0,0,,
Металлургический завод,Металлургический завод,"очень интересное место, понравилась экскурсия",скорее положительные,1,"производство уникальной продукции (заводы, промыслы)",важны,4,женский,45-54,турист,1,0,1,0,,
Металлургический завод,Металлургический завод,"Осталась под впечатлением, понравились росписи на стенах завода. Тоже очень качественная экскурсия.",положительные,2,"производство уникальной продукции (заводы, промыслы)",важны,4,женский,65 и более,турист,1,0,1,0,,
Металлургический завод,Металлургический завод,"очень интересно и удивительно, как город сохранил металлургическую историю и сейчас освежает ее через креативные индустрии",положительные,2,"производство уникальной продукции (заводы, промыслы)",важны,4,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Муралы,Граффити в центральном районе,"не все мне нравятся, но они интересные",нейтральные,0,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,18-24,местный житель,1,1,0,0,,
Муралы,Муралы на стенах домов,"восхищение масштабом работы, но переживания, что не ухаживают",скорее положительные,1,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Муралы,Муралы (их несколько по городу),"восхищение, очень масштабная работа проделана",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,35-44,турист,1,0,1,0,,
Посадка,"Так называемая «Посадка», находится на ул. Островского, позади здания  Трест и «Время есть»",Самые хорошие и прекрасные ,положительные,2,природные особенности,скорее важны,3,женский,18-24,местный житель,1,1,0,0,,
Посадка,Всё это не сон,"чувство уникальности, для меня именно это образ города - неоновые буквы посреди леса",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,35-44,турист,1,0,1,0,,
Посадка,Надпись Всё это не сон в лесу,восторг,положительные,2,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",важны,4,женский,25-34,турист,1,0,1,0,,
Площадь Октябрьской Революции,Площадь октябрьской революции,Хорошие,скорее положительные,1,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",скорее важны,3,женский,18-24,местный житель,1,1,0,0,,
Площадь Октябрьской Революции,Вечный огонь. Расположен на улице Островского.,"Вечный огонь- значимое место. Все патриотические события проходят здесь: демонстрации, возложение цветов на день Победы. У нас в городе по традиции молодожёны в день бракосочетания тоже возлагают цветы к Вечному огню. Гордость и патриотизм.",положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,мужской,45-54,местный житель,1,1,0,0,,
Площадь Октябрьской Революции,площадь Октябрьской Революции,хорошие,скорее положительные,1,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",неважны,0,мужской,18-24,местный житель,1,1,0,0,,
Запасный пруд,Запасный пруд,Простор! Много воды! Почти море!,положительные,2,природные особенности,важны,4,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Запасный пруд,Запасный пруд,"интересное место с большим потенциалом, где сейчас практически никого не бывает",скорее положительные,1,природные особенности,неважны,0,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Арт-резиденция Волна,Волна (Арт-резиденция) на Нижнем пруду,"""Как в Финляндии"") Аккуратно, современно, природно",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Арт-резиденция Волна,арт-резиденция Волна на Нижнем пруду,"уникальна и с точки зрения архитектуры, и с точки зрения того что внутри. и опять всё руками активных горожан, это круто",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,женский,18-24,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Городской рынок,Рынок ,"Аутентичное место, где люди старшего возраста могут встретить много своих знакомых. Поэтому для них место классное, где можно купить интересующий товар по относительно низким ценам. А вот для молодёжи это место уже не несёт никакой культурной и материальной ценности.",скорее положительные,1,"статусы, бренды, репутация города (например, “Выкса – город современного искусства”)",скорее важны,3,женский,18-24,местный житель,1,1,0,0,,
Стадион,Городской стадион. Он находится напротив здания администрации города.,"Стадион- это место, где зимой заливают каток и, поэтому многие спешат покататься на коньках. Здесь ещё можно понаблюдать за тренировкой юных хоккеистов. В летнее время на стадионе проходят футбольные матчи. Здесь можно с пользой провести свободное время.",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,женский,55-64,местный житель,1,1,0,0,,
Христово-Рождественская церковь,Собор на набережной,светлые чувства,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,женский,35-44,турист,1,0,1,0,,
Нижний пруд,Нижний пруд,Хорошо мне знакомое место,скорее положительные,1,природные особенности,неважны,0,мужской,18-24,местный житель,1,1,0,0,,
Кольцевая развязка ул. Ленина,"Круглая площадь, где Евроспар",Ощущение центра и жизни,положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,35-44,"эксперт (урбанист, экскурсовод, работник местной администрации)",1,0,0,1,,
Памятник Щуке,Щука,Отличная смотровая площадка,положительные,2,природные особенности,важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
"Надпись ""Выкса""",Деревянная надпись Выкса,Посиделки на буквах с друзьями. Но жаль пространство вокруг подзапущено.,скорее положительные,1,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
Межонский пруд,Межонский пруд,"Красиво, трубы завода на горизонте",положительные,2,"визуальные и средовые компоненты (материальные объекты, архитектура, благоустройство)",скорее важны,3,мужской,до 18 лет,местный житель,1,1,0,0,,
"Пляж ""Русалочка""",Пляж русалочка,Великолепные закаты,положительные,2,природные особенности,важны,4,мужской,до 18 лет,местный житель,1,1,0,0,,
Здание бывшего кинотеатра Родина,Бывший кинотеатр Родина,Хорошие,скорее положительные,1,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",скорее важны,3,женский,35-44,местный житель,1,1,0,0,,
Культурный центр Ex Libris,Пространство Ex Libris,Интерес и любопытство ,положительные,2,"уникальные или знаковые события (праздники и фестивали, исторические даты, мифы и легенды)",важны,4,женский,35-44,местный житель,1,1,0,0,,
"Турбаза ""Металлург""",Турбаза Металлург,Радость,положительные,2,природные особенности,важны,4,женский,45-54,местный житель,1,1,0,0,,
Березовая роща,"Лесной массив между Антоповкой и Грязной( Березовая роща), Радионов ручей","Иногда злюсь, что мусорят там, чаще восторг от ароматов леса",скорее положительные,1,природные особенности,скорее важны,3,женский,45-54,местный житель,1,1,0,0,,
,,,,,,,,,,,ECI,ECI local,ECI tourist,ECI expert,reECI,Макс. ECI
,,,,,,,,,,,427,198,142,87,"0,8211538462",520
,,,,,,,,,,,"6,46969697",6,"7,473684211","6,692307692",,